picture,price,link,material,score,name,section,brand,keyword
http://nord.imgix.net/Zoom/10/_100396670.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,195.00,https://nordstrom.com/s/tory-burch-miller-flip-flop-women/2963432?origin=keywordsearch-personalizedsort&fashioncolor=NANTUCKET%20RED%20%2F%20WHITE,,,'Miller' Flip Flop (Women),Women,Nordstorm,Casual
http://nord.imgix.net/Zoom/19/_13470019.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,49.00,https://nordstrom.com/s/soprano-jules-split-sleeve-shift-dress/4468310?origin=keywordsearch-personalizedsort&fashioncolor=GREY%20FLORAL,100% polyester,54.5,Jules Split Sleeve Shift Dress,Women,Nordstorm,Casual
http://nord.imgix.net/Zoom/8/_13008968.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,48.00,https://nordstrom.com/s/street-level-reversible-faux-leather-tote-wristlet/3559375?origin=keywordsearch-personalizedsort&fashioncolor=COGNAC,100% polyurethane,6.12,Reversible Faux Leather Tote & Wristlet,Women,Nordstorm,Casual
http://nord.imgix.net/Zoom/13/_13078793.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,23.40,https://nordstrom.com/s/bp-stretch-cotton-moto-leggings/4339923?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,95% cotton  5% spandex.,6.12,Stretch Cotton Moto Leggings,Women,Nordstorm,Casual
http://nord.imgix.net/Zoom/1/_10822861.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,390.00,https://nordstrom.com/s/chloe-small-faye-leather-shoulder-bag/3965292?origin=keywordsearch-personalizedsort&fashioncolor=MOTTY%20GREY,,,Small Faye Leather Shoulder Bag,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/16/_100018196.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,99.00,https://nordstrom.com/s/halogen-leather-crossbody-bag/4426760?origin=keywordsearch-personalizedsort&fashioncolor=PINK%20DUST,,,Leather Crossbody Bag,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/11/_100142631.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,279.00,https://nordstrom.com/s/ted-baker-london-alissaa-leather-tote/4469496?origin=keywordsearch-personalizedsort&fashioncolor=PALE%20PINK,,,Alissaa Leather Tote,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/12/_100297812.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,490.00,https://nordstrom.com/s/chloe-small-faye-goatskin-leather-crossbody-bag/4496489?origin=keywordsearch-personalizedsort&fashioncolor=DENIM%20BLUE,,,Small Faye Goatskin Leather Crossbody Bag,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/8/_11397748.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,950.00,https://nordstrom.com/s/chloe-medium-faye-leather-suede-shoulder-bag/3965294?origin=keywordsearch-personalizedsort&fashioncolor=CLASSIC%20TOBACCO,,,'Medium Faye' Leather & Suede Shoulder Bag,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/18/_10968158.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,525.00,https://nordstrom.com/s/burberry-porter-continental-wallet/4024812?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%20GLD%20HRDWRE,,,'Porter' Continental Wallet,Women,Nordstorm,Divided
http://nord.imgix.net/Zoom/7/_12213707.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,60.00,https://nordstrom.com/s/mini-heart-identity-necklace/4320230?origin=keywordsearch-personalizedsort&fashioncolor=GOLD%2F%20H,,,14k-Gold Fill Initial Mini Heart Pendant Necklace,Women,Nordstorm,H&M Man
http://nord.imgix.net/Gigantic/14/_7302354.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.50,https://nordstrom.com/s/estee-lauder-double-wear-stay-in-place-liquid-makeup/3383085?origin=keywordsearch-personalizedsort&fashioncolor=GOLD%2F%20H,,,Double Wear Stay-in-Place Liquid Makeup,Women,Nordstorm,H&M Man
http://nord.imgix.net/Zoom/17/_100206017.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,899.99,https://nordstrom.com/s/uppababy-2017-vista-henry-aluminum-frame-convertible-stroller-with-bassinet-toddler-seat/4547399?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20MARL,,,2017 VISTA Henry Aluminum Frame Convertible Stroller with Bassinet & Toddler Seat,Kids,Nordstorm,H&M Man
http://nord.imgix.net/Gigantic/13/_8074193.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,65.00,https://nordstrom.com/s/estee-lauder-advanced-night-repair-synchronized-recovery-complex-ii/3540192?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20MARL,,,Advanced Night Repair Synchronized Recovery Complex II,Women,Nordstorm,H&M Man
http://nord.imgix.net/Gigantic/2/_7862202.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,64.00,https://nordstrom.com/s/giorgio-armani-luminous-silk-foundation/2853110?origin=keywordsearch-personalizedsort&fashioncolor=BLUE%20MARL,,,'Luminous Silk' Foundation,Women,Nordstorm,H&M Man
http://nord.imgix.net/Zoom/19/_100435439.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,42.00,https://nordstrom.com/s/lush-racerback-tank-dress/4557791?origin=keywordsearch-personalizedsort&fashioncolor=H-GREY%20-%20BLACK,75% cotton  22% polyester  3% spandex,6.12,Racerback Tank Dress,Women,Nordstorm,H&M Man
http://nord.imgix.net/Zoom/0/_10158160.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,158.00,https://nordstrom.com/s/eliza-j-floral-print-halter-maxi-dress/3968575?origin=keywordsearch-personalizedsort&fashioncolor=PRINT,100% polyester.,6.12,Floral Print Halter Maxi Dress,Women,Nordstorm,Modern Classics
http://nord.imgix.net/Zoom/0/_100221100.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,145.00,https://nordstrom.com/s/longchamp-large-le-pliage-tote/3241956?origin=keywordsearch-personalizedsort&fashioncolor=NEW%20KHAKI,,,'Large Le Pliage' Tote,Women,Nordstorm,Modern Classics
http://nord.imgix.net/Zoom/11/_100270531.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,29.00,https://nordstrom.com/s/socialite-strap-front-tee/4474180?origin=keywordsearch-personalizedsort&fashioncolor=ROSE%20DAWN,Rose Dawn is 63% polyester  34% rayon  3% spandex. All other colors are 55% polyester  41% polyester  4% spandex,6.12,Strap Front Tee,Women,Nordstorm,Modern Classics
http://nord.imgix.net/Zoom/13/_100079173.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,19.50,https://nordstrom.com/s/madewell-whisper-cotton-v-neck-pocket-tee/3966031?origin=keywordsearch-personalizedsort&fashioncolor=TRUE%20BLACK,100% cotton.,6.12,'Whisper' Cotton V-Neck Pocket Tee,Women,Nordstorm,Modern Classics
http://nord.imgix.net/Zoom/4/_100487364.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,45.00,https://nordstrom.com/s/lush-cross-front-blouse/4520144?origin=keywordsearch-personalizedsort&fashioncolor=IVORY%2F%20BLUE%20PAISLEY,100% polyester,54.5,Cross Front Blouse,Women,Nordstorm,Modern Classics
http://nord.imgix.net/Zoom/1/_10758821.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,149.90,https://nordstrom.com/s/guess-double-breasted-boucle-cutaway-coat-regular-petite/4040139?origin=keywordsearch-personalizedsort&fashioncolor=PALE%20PINK,52% polyester  48% wool.,6.12,Double Breasted Bouclé Cutaway Coat (Regular & Petite),Women,Nordstorm,Modern Classics
