picture,price,link,material,score,name,category,brand,keyword
http://nord.imgix.net/Zoom/8/_9523988.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,39.50,https://nordstrom.com/s/calvin-klein-3-pack-boxer-briefs/3731291?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,3-Pack Boxer Briefs,Men,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/4/_13325124.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.90,https://nordstrom.com/s/michael-kors-wool-blend-double-breasted-peacoat/3815683?origin=keywordsearch-personalizedsort&fashioncolor=OFFICER%20NAVY,60% wool  30% polyester  10% rayon; Brown Heather and Heather Grey are 60% wool  30% polyester  5% nylon  5% other fibers; Loden Green is 63% wool  32% polyester  5% other fibers.,6.12,Wool Blend Double Breasted Peacoat,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/16/_100450576.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,175.00,https://nordstrom.com/s/burberry-brit-oxford-short-sleeve-polo/4178324?origin=keywordsearch-personalizedsort&fashioncolor=CHALK%20BLUE,100% cotton.,6.12,'Oxford' Short Sleeve Polo,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/14/_100280594.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,178.00,https://nordstrom.com/s/ag-graduate-sud-slim-straight-leg-pants/3645155?origin=keywordsearch-personalizedsort&fashioncolor=FOREST%20BROWN,97% cotton  3% elastane,6.12,Graduate SUD Slim Straight Leg Pants,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/0/_100418840.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,169.90,https://nordstrom.com/s/barbour-chelsea-regular-fit-quilted-jacket/3785737?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% polyester.,6.12,'Chelsea' Regular Fit Quilted Jacket,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/1/_13168441.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.00,https://nordstrom.com/s/better-sweater-1-4-zip/4177901?origin=keywordsearch-personalizedsort&fashioncolor=STONEWASH,100% polyester.,6.12,'Better Sweater' Quarter Zip Pullover,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/17/_100439617.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,265.00,https://nordstrom.com/s/burberry-brit-cambridge-aboyd-trim-fit-sport-shirt/4061528?origin=keywordsearch-personalizedsort&fashioncolor=PALE%20PERIDOT%20BLUE,97% cotton  3% elastane.,6.12,'Cambridge Aboyd' Trim Fit Sport Shirt,Men,Nordstorm,Sportswear
http://nord.imgix.net/Zoom/0/_100292560.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,295.00,https://nordstrom.com/s/burberry-gowers-abmiz-check-swim-trunks/4527641?origin=keywordsearch-personalizedsort&fashioncolor=CAMEL,100% polyamide,6.12,Gowers Abmiz Check Swim Trunks,Men,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/3/_100425083.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,49.00,https://nordstrom.com/s/patagonia-baggies-swim-trunks/4298675?origin=keywordsearch-personalizedsort&fashioncolor=RED,100% nylon,35.0,Baggies Swim Trunks,Men,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/17/_13387377.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,65.00,https://nordstrom.com/s/calibrate-swim-trunks/4434359?origin=keywordsearch-personalizedsort&fashioncolor=BURGUNDY%20ROYALE%20ZIG%20ZAG,88% polyester  12% spandex,6.12,Swim Trunks,Men,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/5/_12277825.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,89.50,https://nordstrom.com/s/vineyard-vines-solid-bungalow-swim-trunks/3979551?origin=keywordsearch-personalizedsort&fashioncolor=LOBSTER%20RED,100% polyester.,6.12,'Solid Bungalow' Swim Trunks,Men,Nordstorm,Swimwear
http://nord.imgix.net/Zoom/4/_13459144.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,65.00,https://nordstrom.com/s/tommy-bahama-the-naples-happy-go-cargo-swim-trunks/3530868?origin=keywordsearch-personalizedsort&fashioncolor=SAPPHIRE%20NIGHT,100% nylon.,6.12,'The Naples Happy Go Cargo' Swim Trunks,Men,Nordstorm,Swimwear
